OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityStartDate,ProjectIdentifier,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultCommentText,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209359.0000000000,,Potassium,Total,1.1,mg/l,,,,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209355.0000000000,,Manganese,Dissolved,6070,ug/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209354.0000000000,,Magnesium,Total,67,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209369.0000000000,,Chloride,Dissolved,2.6,mg/l,,I2057,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209375.0000000000,,Magnesium,Dissolved,65,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209356.0000000000,,Manganese,Total,6500,ug/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209367.0000000000,,Calcium,Dissolved,63,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209365.0000000000,,Aluminum,Dissolved,518,ug/l,,I1054,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209366.0000000000,,Aluminum,Total,980,ug/l,,I1054,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209361.0000000000,,Sodium,Total,3.8,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209360.0000000000,,Sodium,Dissolved,3.4,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209368.0000000000,,Calcium,Total,65,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209362.0000000000,,Sulfate as SO4,Dissolved,410,mg/l,,I2057,USDOI/USGS,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0015,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818681.0000000000,,Copper,Dissolved,49,ug/l,,220.2,USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0015,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818244.0000000000,,Manganese,Total,3760,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0015,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818246.0000000000,,Calcium,Total,229,mg/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0015,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818682.0000000000,,Zinc,Dissolved,368,ug/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0015,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818247.0000000000,,Magnesium,Total,74.4,mg/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0015,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818249.0000000000,,Copper,Total,70,ug/l,,220.2,USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0015,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818245.0000000000,,Zinc,Total,375,ug/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0015,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818679.0000000000,,Iron,Dissolved,27100,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0015,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818250.0000000000,,Iron,Total,31200,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0015,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818680.0000000000,,Aluminum,Dissolved,23500,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0015,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818248.0000000000,,Aluminum,Total,26700,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-SAMPLE01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0015,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818270.0000000000,,Sulfate as SO4,Total,1240,mg/l,,375.4,USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0018,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818619.0000000000,,Manganese,Total,3680,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0018,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818622.0000000000,,Magnesium,Total,80.5,mg/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0018,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818624.0000000000,,Copper,Total,2,ug/l,,220.2,USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0018,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818625.0000000000,,Iron,Total,1860,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0018,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818627.0000000000,,Copper,Dissolved,2,ug/l,,220.2,USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0018,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818623.0000000000,,Aluminum,Total,690,ug/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0018,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818628.0000000000,,Iron,Dissolved,400,ug/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0018,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818626.0000000000,,Aluminum,Dissolved,350,ug/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0018,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818620.0000000000,,Zinc,Total,50,ug/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0018,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818629.0000000000,,Zinc,Dissolved,49,ug/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0018,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818621.0000000000,,Calcium,Total,239,mg/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-SAMPLE01-INVS2000GEWESTF-0,Sample,7/31/2000,WAPINST1,,211WVOWR-MW-011-0018,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818617.0000000000,,Sulfate as SO4,Total,1010,mg/l,,375.4,USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,8/1/2000,WAPINST1,,211WVOWR-MW-011-0011,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007859805.0000000000,,Copper,Dissolved,0,ug/l,<1 ug/l,220.2,USEPA,,,,Sturm Evironmental Services,8/22/2000,1,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/1/2000,WAPINST1,,211WVOWR-MW-011-0011,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007859871.0000000000,,Copper,Total,0,ug/l,<1 ug/l,220.2,USEPA,,,,Sturm Evironmental Services,8/22/2000,1,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/1/2000,WAPINST1,,211WVOWR-MW-011-0011,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007859869.0000000000,,Zinc,Total,0,ug/l,<5 ug/l,200.7(W),USEPA,,,,Sturm Evironmental Services,8/16/2000,5,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/1/2000,WAPINST1,,211WVOWR-MW-011-0011,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007859867.0000000000,,Magnesium,Total,40.2,mg/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/1/2000,WAPINST1,,211WVOWR-MW-011-0011,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007859868.0000000000,,Manganese,Total,80,ug/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,8/1/2000,WAPINST1,,211WVOWR-MW-011-0011,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007859807.0000000000,,Iron,Dissolved,0,ug/l,<50 ug/l,200.7(W),USEPA,,,,Sturm Evironmental Services,8/8/2000,50,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/1/2000,WAPINST1,,211WVOWR-MW-011-0011,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007859870.0000000000,,Iron,Total,230,ug/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,8/1/2000,WAPINST1,,211WVOWR-MW-011-0011,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007859808.0000000000,,Aluminum,Dissolved,50,ug/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/1/2000,WAPINST1,,211WVOWR-MW-011-0011,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007859872.0000000000,,Aluminum,Total,280,ug/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,8/1/2000,WAPINST1,,211WVOWR-MW-011-0011,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007859806.0000000000,,Zinc,Dissolved,0,ug/l,<5 ug/l,200.7(W),USEPA,,,,Sturm Evironmental Services,8/8/2000,5,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/1/2000,WAPINST1,,211WVOWR-MW-011-0011,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007859866.0000000000,,Calcium,Total,139,mg/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-SAMPLE01-INVS2000GEWESTF-0,Sample,8/1/2000,WAPINST1,,211WVOWR-MW-011-0011,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007859863.0000000000,,Sulfate as SO4,Total,470,mg/l,,375.4,USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/2/2000,WAPINST1,,211WVOWR-MW-011-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818584.0000000000,,Magnesium,Total,87.6,mg/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,8/2/2000,WAPINST1,,211WVOWR-MW-011-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818593.0000000000,,Copper,Dissolved,78,ug/l,,220.2,USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/2/2000,WAPINST1,,211WVOWR-MW-011-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818585.0000000000,,Copper,Total,101,ug/l,,220.2,USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/2/2000,WAPINST1,,211WVOWR-MW-011-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818588.0000000000,,Zinc,Total,480,ug/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/2/2000,WAPINST1,,211WVOWR-MW-011-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818589.0000000000,,Aluminum,Total,29100,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,8/2/2000,WAPINST1,,211WVOWR-MW-011-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818590.0000000000,,Zinc,Dissolved,382,ug/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/2/2000,WAPINST1,,211WVOWR-MW-011-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818583.0000000000,,Calcium,Total,282,mg/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,8/2/2000,WAPINST1,,211WVOWR-MW-011-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818592.0000000000,,Aluminum,Dissolved,24800,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/2/2000,WAPINST1,,211WVOWR-MW-011-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818587.0000000000,,Manganese,Total,8100,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/2/2000,WAPINST1,,211WVOWR-MW-011-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818586.0000000000,,Iron,Total,47000,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,8/2/2000,WAPINST1,,211WVOWR-MW-011-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818591.0000000000,,Iron,Dissolved,38900,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-SAMPLE01-INVS2000GEWESTF-0,Sample,8/2/2000,WAPINST1,,211WVOWR-MW-011-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007818578.0000000000,,Sulfate as SO4,Total,1320,mg/l,,375.4,USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/8/2000,WAPINST1,,211WVOWR-MW-015-0032,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007865708.0000000000,,Magnesium,Total,60.5,mg/l,,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01-INVS2000GEWESTF-0,Sample,8/8/2000,WAPINST1,,211WVOWR-MW-015-0032,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007865713.0000000000,,Copper,Dissolved,0,ug/l,,220.2,USEPA,,,,Sturm Evironmental Services,8/25/2000,1,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS2000GEWESTF-0,Sample,8/8/2000,WAPINST1,,211WVOWR-MW-015-0032,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007865707.0000000000,,Calcium,Total,203,mg/l,,200.7(W),USEPA,,,,,,,,,,STORET
